Time_Stamp,NB1300Vibracion1,NB1300Vibracion2,NB1300Vibracion3,NB1300Vibracion4,NB1300Vibracion5,NB1300Vibracion6,NB1300tPrec,NB1300tGener,NB1300tCuarto,NB1300tBloque,NB1300tAmbien,NB1300hCuarto
7/27/2022 15:37,2.6,3.6,4.1,4.6,4,3.7,45,42,26,43,25,29
7/27/2022 15:38,2.5,4.5,4.7,4.6,4.5,5.2,46,41,27,43,26,29
7/27/2022 15:39,2.1,3.1,3.7,3.5,3.1,3.6,46,42,26,43,26,29
7/27/2022 15:40,2.8,3.8,4.4,4.7,3.9,4.4,46,39,27,43,25,29
7/27/2022 15:41,2.3,3.3,3.7,3.9,4.2,3.6,43,36,26,39,21,31
7/27/2022 15:42,2.7,3.7,4.1,3.8,4.4,3.9,42,35,27,37,19,32
7/27/2022 15:43,2,3,3.3,3.8,3.7,3.8,41,35,27,36,18,32
7/27/2022 15:44,2.1,3.1,3.4,3.4,3.1,3.5,41,34,26,36,18,33
7/27/2022 15:45,2.3,3.3,3.3,4.2,3.9,3.4,41,34,26,35,17,33
7/27/2022 15:46,2.1,3.1,3.3,3.7,3.9,3.3,41,34,26,35,17,33
7/27/2022 15:47,2.6,3.6,4.6,3.7,4.5,4.2,42,36,26,36,18,33
7/27/2022 15:48,2.7,3.7,4.2,4.2,3.7,3.9,44,38,26,38,19,32
7/27/2022 15:49,2,3,3,3.1,3.4,3.4,46,38,26,40,21,31
7/27/2022 15:50,2.9,3.9,4.5,4.8,4.9,4.8,47,38,26,41,22,30
7/27/2022 15:51,3,4,4.2,4.7,4.7,5,47,40,26,42,22,30
7/27/2022 15:52,2.8,3.8,4.7,4.1,4.3,4.2,47,40,26,43,22,29
7/27/2022 15:53,2.3,3.3,3.9,3.4,3.9,4.2,46,40,26,43,23,29
7/27/2022 15:54,2.5,3.5,3.9,4.5,4,4.4,46,41,26,43,23,29
7/27/2022 15:55,2.1,3.1,3.9,3.5,3.7,3.4,46,41,26,44,23,29
7/27/2022 15:56,2.7,3.7,4.3,4,4.1,4.5,46,41,26,44,24,29
7/27/2022 15:57,2.9,3.9,4.2,4,4.4,4.7,45,41,26,44,24,29
7/27/2022 15:58,3,4,4.1,4.9,4.7,4.6,45,42,26,44,24,29
7/27/2022 15:59,2,3,4,3.8,3.5,3.5,45,42,26,44,23,29
7/27/2022 16:00,2.4,3.4,3.6,4.4,3.6,4.1,45,42,26,44,24,29
7/27/2022 16:01,3,4,4.6,4.5,5,4.1,44,39,26,43,23,29
7/27/2022 16:02,2,3,4,3,3.7,3.4,41,36,26,39,20,32
7/27/2022 16:03,2.1,3.1,3.2,3.3,3.8,4,39,35,26,37,19,33
7/27/2022 16:04,2.1,3.1,3.9,3.7,3.6,3.3,39,35,26,36,18,33
7/27/2022 16:05,2.2,3.2,4.1,3.2,3.7,3.7,38,34,26,35,17,33
7/27/2022 16:06,2.5,3.5,3.9,4.5,3.8,4.1,38,34,26,35,17,33
7/27/2022 16:07,2.4,3.4,3.7,3.5,3.9,4.2,38,34,26,34,17,33
7/27/2022 16:08,2.5,3.5,4.4,3.5,4.2,4.3,39,34,26,34,16,33
7/27/2022 16:09,2.6,3.6,4.1,4.2,4.4,4.1,41,38,26,36,18,33
7/27/2022 16:10,2.3,3.3,3.4,3.3,3.3,3.4,43,38,26,38,20,32
7/27/2022 16:11,2.8,3.8,4.6,4.3,4.6,4,44,39,26,39,21,31
7/27/2022 16:12,2.3,3.3,3.4,3.9,4,3.4,45,39,26,40,21,30
7/27/2022 16:13,2.6,3.6,4.3,4.4,3.8,4.5,45,40,26,41,22,30
7/27/2022 16:14,2.7,3.7,3.7,3.8,3.9,4.5,46,40,26,42,22,30
7/27/2022 16:15,2.4,3.4,4,4,4.4,3.9,46,40,26,42,22,30
7/27/2022 16:16,2.1,3.1,3.7,3.6,3.6,3.3,47,41,26,43,22,30
7/27/2022 16:17,3,4,4,4.7,4.2,4.5,47,41,26,43,23,30
7/27/2022 16:18,2.9,3.9,4.9,4.1,4.2,4.2,47,41,26,43,23,30
7/27/2022 16:19,2.2,3.2,4,4,3.6,3.9,47,41,26,44,23,30
7/27/2022 16:20,2.5,3.5,3.6,3.5,3.7,4.5,48,42,26,44,23,30
